Sort type,Sample type,run time,run number,,,,,
Merge sort,SortedSmallSample,351835700,1,,,,,
Merge sort,SortedSmallSample,270854200,2,,,,,
Merge sort,SortedSmallSample,203386900,3,,,,,
Merge sort,SortedSmallSample,196450200,4,,,,,
Merge sort,SortedSmallSample,283185900,5,,,,,
Merge sort,SortedSmallSample,183198900,6,,,,,
Merge sort,SortedSmallSample,177040600,7,,,,,
Merge sort,SortedSmallSample,227496000,8,,,,,
Merge sort,SortedSmallSample,174881600,9,,,,,
Merge sort,SortedSmallSample,195658700,10,,,,,
Merge sort,SortedSmallSample,228858400,11,,,,,
Merge sort,SortedSmallSample,207853800,12,,,,,
Merge sort,SortedSmallSample,116179100,13,,,,,
Merge sort,SortedSmallSample,285686200,14,,,,,
Merge sort,SortedSmallSample,188881200,15,,,,,
Merge sort,SortedSmallSample,180530700,16,,,,,
Merge sort,SortedSmallSample,207327500,17,,,,,
Merge sort,SortedSmallSample,180417300,18,,,,,
Merge sort,SortedSmallSample,217476700,19,,,,,
Merge sort,SortedSmallSample,175809500,20,,,,,
Merge sort,SortedSmallSample,196596000,21,,,,,
Merge sort,SortedSmallSample,189694600,22,,,,,
Merge sort,SortedSmallSample,197883400,23,,,,,
Merge sort,SortedSmallSample,191272400,24,,,,,
Merge sort,SortedSmallSample,191789900,25,,,,,
Merge sort,SortedSmallSample,227649500,26,,,,,
Merge sort,SortedSmallSample,143204200,27,,,,,
Merge sort,SortedSmallSample,135982200,28,,,,,
Merge sort,SortedSmallSample,185977900,29,,,,,
Merge sort,SortedSmallSample,200416700,30,Average,216220896.7,SD,61099081.02,SD as percent
Quick sort,SortedSmallSample,35081700,1,Seconds:,0.216220897,,0.061099081,0.282577133
Quick sort,SortedSmallSample,22716500,2,,,,,
Quick sort,SortedSmallSample,25923700,3,,,,,
Quick sort,SortedSmallSample,35176800,4,,,,,
Quick sort,SortedSmallSample,35295200,5,,,,,
Quick sort,SortedSmallSample,34910500,6,,,,,
Quick sort,SortedSmallSample,34951900,7,,,,,
Quick sort,SortedSmallSample,35305400,8,,,,,
Quick sort,SortedSmallSample,35280900,9,,,,,
Quick sort,SortedSmallSample,34793200,10,,,,,
Quick sort,SortedSmallSample,35303300,11,,,,,
Quick sort,SortedSmallSample,35170200,12,,,,,
Quick sort,SortedSmallSample,35142800,13,,,,,
Quick sort,SortedSmallSample,35416900,14,,,,,
Quick sort,SortedSmallSample,34498900,15,,,,,
Quick sort,SortedSmallSample,35220600,16,,,,,
Quick sort,SortedSmallSample,35260900,17,,,,,
Quick sort,SortedSmallSample,35806700,18,,,,,
Quick sort,SortedSmallSample,34866400,19,,,,,
Quick sort,SortedSmallSample,35334800,20,,,,,
Quick sort,SortedSmallSample,34635900,21,,,,,
Quick sort,SortedSmallSample,35216600,22,,,,,
Quick sort,SortedSmallSample,35080700,23,,,,,
Quick sort,SortedSmallSample,35431200,24,,,,,
Quick sort,SortedSmallSample,35656600,25,,,,,
Quick sort,SortedSmallSample,35724800,26,,,,,
Quick sort,SortedSmallSample,37140200,27,,,,,
Quick sort,SortedSmallSample,35135800,28,,,,,
Quick sort,SortedSmallSample,35478800,29,,,,,
Quick sort,SortedSmallSample,35378100,30,Average,216220896.7,SD,61099081.02,SD as percent
Heap sort,SortedSmallSample,128885600,1,Seconds:,0.216220897,,0.061099081,0.282577133
Heap sort,SortedSmallSample,114425500,2,,,,,
Heap sort,SortedSmallSample,114848800,3,,,,,
Heap sort,SortedSmallSample,116425500,4,,,,,
Heap sort,SortedSmallSample,116273900,5,,,,,
Heap sort,SortedSmallSample,114164100,6,,,,,
Heap sort,SortedSmallSample,113696300,7,,,,,
Heap sort,SortedSmallSample,114037200,8,,,,,
Heap sort,SortedSmallSample,115754100,9,,,,,
Heap sort,SortedSmallSample,118494800,10,,,,,
Heap sort,SortedSmallSample,116438800,11,,,,,
Heap sort,SortedSmallSample,117205500,12,,,,,
Heap sort,SortedSmallSample,118360900,13,,,,,
Heap sort,SortedSmallSample,116715200,14,,,,,
Heap sort,SortedSmallSample,118500900,15,,,,,
Heap sort,SortedSmallSample,118051200,16,,,,,
Heap sort,SortedSmallSample,118016800,17,,,,,
Heap sort,SortedSmallSample,117063700,18,,,,,
Heap sort,SortedSmallSample,117340100,19,,,,,
Heap sort,SortedSmallSample,115867200,20,,,,,
Heap sort,SortedSmallSample,115832800,21,,,,,
Heap sort,SortedSmallSample,116307500,22,,,,,
Heap sort,SortedSmallSample,116870100,23,,,,,
Heap sort,SortedSmallSample,116716600,24,,,,,
Heap sort,SortedSmallSample,121035200,25,,,,,
Heap sort,SortedSmallSample,114440900,26,,,,,
Heap sort,SortedSmallSample,113078900,27,,,,,
Heap sort,SortedSmallSample,113221400,28,,,,,
Heap sort,SortedSmallSample,111857200,29,,,,,
Heap sort,SortedSmallSample,111821200,30,Average,216220896.7,SD,61099081.02,SD as percent
Merge sort,ReverseSortedSmallSample,237169900,1,Seconds:,0.216220897,,0.061099081,0.282577133
Merge sort,ReverseSortedSmallSample,133686900,2,,,,,
Merge sort,ReverseSortedSmallSample,190111500,3,,,,,
Merge sort,ReverseSortedSmallSample,225779000,4,,,,,
Merge sort,ReverseSortedSmallSample,165269400,5,,,,,
Merge sort,ReverseSortedSmallSample,258522400,6,,,,,
Merge sort,ReverseSortedSmallSample,229237400,7,,,,,
Merge sort,ReverseSortedSmallSample,191758500,8,,,,,
Merge sort,ReverseSortedSmallSample,191272600,9,,,,,
Merge sort,ReverseSortedSmallSample,199917100,10,,,,,
Merge sort,ReverseSortedSmallSample,196316200,11,,,,,
Merge sort,ReverseSortedSmallSample,167492700,12,,,,,
Merge sort,ReverseSortedSmallSample,135098700,13,,,,,
Merge sort,ReverseSortedSmallSample,199121800,14,,,,,
Merge sort,ReverseSortedSmallSample,248712600,15,,,,,
Merge sort,ReverseSortedSmallSample,202629200,16,,,,,
Merge sort,ReverseSortedSmallSample,190688700,17,,,,,
Merge sort,ReverseSortedSmallSample,193183600,18,,,,,
Merge sort,ReverseSortedSmallSample,241983800,19,,,,,
Merge sort,ReverseSortedSmallSample,190532000,20,,,,,
Merge sort,ReverseSortedSmallSample,195409100,21,,,,,
Merge sort,ReverseSortedSmallSample,229420300,22,,,,,
Merge sort,ReverseSortedSmallSample,135217900,23,,,,,
Merge sort,ReverseSortedSmallSample,231986200,24,,,,,
Merge sort,ReverseSortedSmallSample,200640800,25,,,,,
Merge sort,ReverseSortedSmallSample,200063900,26,,,,,
Merge sort,ReverseSortedSmallSample,192398300,27,,,,,
Merge sort,ReverseSortedSmallSample,200375500,28,,,,,
Merge sort,ReverseSortedSmallSample,189349600,29,,,,,
Merge sort,ReverseSortedSmallSample,191768600,30,Average,216220896.7,SD,61099081.02,SD as percent
Quick sort,ReverseSortedSmallSample,35485400,1,Seconds:,0.216220897,,0.061099081,0.282577133
Quick sort,ReverseSortedSmallSample,34845100,2,,,,,
Quick sort,ReverseSortedSmallSample,35418000,3,,,,,
Quick sort,ReverseSortedSmallSample,35003900,4,,,,,
Quick sort,ReverseSortedSmallSample,34973500,5,,,,,
Quick sort,ReverseSortedSmallSample,35283100,6,,,,,
Quick sort,ReverseSortedSmallSample,35100100,7,,,,,
Quick sort,ReverseSortedSmallSample,35409100,8,,,,,
Quick sort,ReverseSortedSmallSample,35333400,9,,,,,
Quick sort,ReverseSortedSmallSample,34984000,10,,,,,
Quick sort,ReverseSortedSmallSample,35323000,11,,,,,
Quick sort,ReverseSortedSmallSample,35665900,12,,,,,
Quick sort,ReverseSortedSmallSample,35518000,13,,,,,
Quick sort,ReverseSortedSmallSample,35275800,14,,,,,
Quick sort,ReverseSortedSmallSample,35098300,15,,,,,
Quick sort,ReverseSortedSmallSample,35252800,16,,,,,
Quick sort,ReverseSortedSmallSample,35145900,17,,,,,
Quick sort,ReverseSortedSmallSample,35267500,18,,,,,
Quick sort,ReverseSortedSmallSample,35121400,19,,,,,
Quick sort,ReverseSortedSmallSample,35029400,20,,,,,
Quick sort,ReverseSortedSmallSample,34897400,21,,,,,
